,arabic,roman
139,فسنه,afsaneh
140,افسر,afsar
141,فشن,afshan
142,افصح,afsheen
143,فشن,afshin
144,عفص,afsoon
145,افز,afza
146,افز,afzoon
147,اغلى,aghala
148,اغاريد,agharid
149,غيغ,aghigh
150,اغلى,aghla
151,اغصان,aghsan
152,اجرين,agreen
153,احباب,ahbab
154,اهداف,ahdaf
155,احذية,ahdia
156,اهداه,aheedah
157,احدا,ahida
158,عاهنة,ahina
159,احلام,ahlaam
160,احلام,ahlam
161,احلم,ahlem
162,حمران,ahmaraan
163,احنف,ahnaf
164,اهو,ahoo
165,اهرام,ahram
166,احفظ,ahvaz
167,احواز,ahwaz
168,حيث,ahyas
169,عاءشة,aicha
170,ايضا,aidan
171,ادنى,aidana
172,اغار,aighar
173,اغن,aigheen
174,اجل,aigul
175,الين,aileen
176,اعمال,aimal
177,ايمن,aimen
178,نلسبا,ain alsaba
179,عنز,ainaz
180,ايرين,aireen
181,اسنى,aisana
182,عاءشة,aisha
183,اسودا,aisooda
184,اية,aiya
185,ايلة,aiyla
186,اجار,ajaar
187,اجاب,ajab
188,اجم,ajam
189,اجاويد,ajaweed
190,اجيب,ajeeb
191,اجيبه,ajeebah
192,اجي,ajia
193,اجلال,ajlal
194,اجرد,ajrada
195,جراده,ajradah
196,اجوا,ajwa
197,اكبر,akbari
198,اخطر,akhtar
199,اختر,akhtari
200,عكا,akia
201,اكيدة,akida
202,اقليمى,akleema
203,اقليمى,aklima
204,كشتي,akshiti
205,اكون,akwan
206,الله,alalah
207,الله,alaleh
208,الم,alam
209,المفرز,alamafruz
210,الامارة,alamara
211,علينا,alayna
212,الين,aleen
213,علينا,aleena
214,اليسا,aleesa
215,اليز,aleeza
216,عليها,aleha
217,العشا,alesha
218,الفه,alfah
219,الحان,alhan
220,الهنا,alhena
221,عالية,alia
222,اليسا,alicia
223,الاهات,alihat
224,عليك,alika
225,اليمة,alima
226,علينا,alina
227,اليسا,alisa
228,العشا,alisha
229,الاسهاب,alishaba
230,العشبة,alishba
231,العزة,aliza
232,المه,allamah
233,عليه,alleyah
234,الما,alma
235,الماس,almas
236,المسا,almasa
237,المسح,almash
238,الماظ,almaz
239,الميرا,almira
240,الطاف,altaaf
241,الطاف,altaf
242,الطين,altin
243,التحية,altthea
244,التون,altun
245,العدرا,aludra
246,الفند,alvand
247,الفينا,alveena
248,الفينا,alvina
249,الوان,alwan
250,الوند,alwand
251,ليانه,alyaanah
252,الين,alyan
253,الزهرة,alzahra
254,الزينة,alzena
255,الزبر,alzubra
256,عامه,amah
257,عملية,amalia
258,عمليلله,amalillah
259,امان,aman
260,امانات,amanaat
261,امانه,amanah
262,امانة,amanat
263,اماناتلله,amanatullah
264,اماني,amani
265,امانلله,amanullah
266,عمارة,amara
267,امة,amat
268,مطوله,amatullah
269,امية,amaya
270,امبر,ambar
271,امبر,ambara
272,امبر,ambareen
273,امبرين,ambarin
274,امبر,amber
275,امبر,ambereen
276,امبر,ambra
277,امبر,ambreen
278,اميرة,ameera
279,اميرة,ameerah
280,عمليا,amelia
281,اميال,amial
282,امينا,aminan
283,امينة,aminat
284,امين,aminu
285,اميرة,amira
286,اميرة,amiraa
287,امجاد,amjad
288,املس,amlaas
289,عملها,amlahan
290,املس,amlas
291,عمان,amman
292,ماتنفع,ammatunnaafe
293,امونة,ammuna
294,امني,ammuni
295,امورة,ammura
296,اموري,ammuri
297,امنة,amna
298,منجن,amnajane
299,امنا,amnan
300,امنت,amnati
301,امنين,amnian
302,امرا,amra
303,مراس,amras
304,امرين,amreen
305,امروز,amrozia
306,امسح,amsah
307,امثال,amsal
308,امتلله,amtullah
309,اميلي,amyali
310,ميتز,amytis
311,اناء,ana
312,انان,anaan
313,عنابية,anabia
314,عندل,anadil
315,اناهيد,anahid
316,انهيت,anahit
317,انهيت,anahita
318,انام,anam
319,انا,anan
320,اناقة,anaqat
321,انار,anar
322,انارت,anarat
323,انسى,anasa
324,انصت,anasat
325,انسي,anasi
326,انسي,anasiya
327,اناة,anat
328,انام,anaum
329,اني,anaya
330,عنبر,anbar
331,عنبرين,anbarin
332,نضاله,andalah
333,نضالي,andalee
334,عندليب,andaleeb
335,عندليب,andalib
336,اندلس,andalus
337,اندلسي,andalusi
338,اندية,andia
339,انديشه,andisheh
340,عندليب,andleeb
341,انفا,anfa
342,انفعني,anfani
343,انفاس,anfas
344,انجبن,angbin
345,انجز,angeza
346,نغم,anghum
347,انهار,anhar
348,عنيدة,anida
349,عنيفة,anifa
350,انيقة,anika
351,انيل,anila
352,انيق,aniq
353,انيسة,anisha
354,انيسة,anissa
355,انيتا,anita
356,عانية,aniya
357,عنيزة,aniza
358,انجا,anja
359,نجدية,anjudiya
360,انجم,anjum
361,انجمن,anjuman
362,انمار,anmar
363,نمل,anmol
364,ان,ann
365,انال,annali
366,انام,annam
367,انيسة,annissa
368,انعم,annum
369,انوش,anoosh
370,انوش,anoosha
371,انوشه,anooshah
372,عنود,anoud
373,انوش,anoush
374,انوش,anousha
375,انقى,anqa
376,انسب,ansab
377,انسام,ansam
378,انصار,ansara
379,انشا,ansha
380,انشره,ansharah
381,عنتره,antarah
382,انعم,anum
383,انملة,anumullah
384,انوش,anush
385,انشا,anusha
386,انشاه,anushah
387,انصحه,anusheh
388,انوار,anwaar
389,انوار,anwar
390,انوار,anwara
391,انواره,anwarah
392,انظر,anzar
393,ابانا,apana
394,عفرا,aphra
395,اقدس,aqdas
396,عقبة,aqiba
397,عقيدة,aqidah
398,عقيق,aqiq
399,قلمه,aqlimah
400,اقرب,aqrab
401,اقسى,aqsa
402,اقصاء,aqsaa
403,اقوله,aquilah
404,ارام,araam
405,عرفاء,arafaa
406,ارج,araj
407,ارام,aram
408,ارميه,arameh
409,رمش,aramesh
410,ارن,aran
411,رانج,arang
412,عرار,arar
413,عرعره,ararah
414,عرس,aras
415,عرش,arash
416,ارسطه,arasteh
417,اركس,arax
418,ارز,araz
419,ارباب,arbab
420,ارضى,arda
421,ارضه,ardah
422,اريبة,areeba
423,اريج,areej
424,ارينا,areena
425,عريقة,areeqa
426,عريسا,areesa
427,عريش,areesh
428,عريسها,areesha
429,ارز,areez
430,عرسها,aresha
431,عرف,arf
432,عرفة,arfa
433,عرفانا,arfaana
434,رغيفان,arghavan
435,ارها,arhaa
436,ارحم,arham
437,اريانة,ariana
438,ريناز,arianaz
439,اريج,arij
440,عرينه,arinah
441,عريقات,ariqaat
442,عريسها,arisha
443,عريسا,arissa
444,ارجومند,arjumand
445,ارمغا,armaghan
446,ارمغن,armaghn
447,ارمن,armin
448,رمينا,armina
449,رميت,armita
450,ارنفز,arnavaz
451,ارنوز,arnawaz
452,رنك,arnica
453,رنوش,arnoush
454,عروب,aroob
455,اروبا,arooba
456,عرفة,aroofa
457,عروس,aroos
458,عروسة,aroosa
459,عروسه,aroosh
460,عروب,aroub
461,عروسه,aroush
462,ارسل,arsala
463,عرسها,arshan
464,ارشيد,arsheeda
465,عرش,arsheen
466,عرشي,arshi
467,عرسها,arshia
468,عرشي,arshiya
469,ارت,arta
470,ارتدخة,artadokht
471,ارتدخة,artadukht
472,ارتين,arteena
473,عرب,arub
474,عربيه,arubiyyah
475,عروس,arus
476,عرفة,arva
477,عارفين,arveen
478,ارواء,arwaa
479,ارواح,arwah
480,عارية,arya
481,عرين,aryan
482,عريسها,aryisha
483,ارز,arz
484,رزاندا,arzanda
485,رزانده,arzandeh
486,اسا,asa
487,اسالت,asaalat
488,اسعده,asadah
489,اصح,asah
490,اسال,asal
491,اصالة,asala
492,اصاله,asalah
493,اصلي,asali
494,اثر,asar
495,اسره,asareh
496,اساس,asas
497,اصبح,asbah
498,اصداف,asdaf
499,اسيل,aseel
500,اصيلة,aseela
501,اصيله,aseelah
502,اسفة,asfa
503,عسفيا,asfia
504,عسفيا.,asfiya.
505,عصفور,asfour
506,عصفوره,asfoureh
507,اصغر,asgari
508,اصغي,asghia
509,عشا,asha
510,شاديه,ashadieeyah
511,سحالينا,ashalina
512,اشباه,ashbah
513,عشيقة,asheeqa
514,اشين,asheeyana
515,عشنا,ashena
516,عشيقة,ashika
517,عشيقة,ashiqa
518,عشيقه,ashiqah
519,عشرة,ashira
520,اشعيا,ashiya
521,عشنا,ashna
522,شفت,ashofta
523,شفته,ashofteh
524,اشرف,ashraf
525,اشتي,ashti
526,اشواق,ashwaq
527,اسفة,asifa
528,اسءله,asilah
529,اصيل,asili
530,اسمى,asima
531,اسمه,asimah
532,اسيرة,asira
533,اسيا,asiya
534,اصيح,asiyah
535,اصيح,asiyeh
536,اسجد,asjad
537,اصلي,asli
538,اسما,asma
539,اسماء,asmaa
540,اسمار,asmar
541,اسمرة,asmara
542,اصمت,asmat
543,اسنى,asna
544,اسرى,asra
545,اسرار,asrar
546,عصرين,asreen
547,اسرية,asriyah
548,اسيا,assia
549,اس,asu
550,اسودا,asuda
551,اسعده,asudeh
552,اسيا,asya
553,اتفه,atafah
554,اطاليا,atalaya
555,تنز,atanaz
556,ترين,atarin
557,عتريس,atarisa
558,عطية,ataya
559,اتيت,atayat
560,اطيب,ateeb
561,عتيبه,ateebah
562,عطيف,ateef
563,اتين,ateen
564,عتيقة,ateeqa
565,اطيقه,ateeqah
566,اطير,ateera
567,اتيح,ateeyah
568,اتفه,atefeh
569,اتفه,atfah
570,اطفات,atfat
571,اثيل,atheel
572,اذله,athilah
573,اثير,athir
574,عظمه,athmah
575,عطية,atia
576,عطيفة,atifa
577,اتفه,atifah
578,عطيفة,atifat
579,عتيقة,atika
580,اطيقه,atikah
581,عتيقة,atiqa
582,اطيقه,atiqah
583,اطير,atira
584,اطرح,atirah
585,عطية,atiya
586,اتيا,atiyaa
587,اتيح,atiyah
588,عطيات,atiyyaat
589,اتيتلله,atiyyatullah
590,اتوسع,atoosa
591,اتقى,atqa
592,عتقاء,atqaa
593,تراه,attarah
594,اتوه,attawah
595,اتبعه,atubah
596,اطوف,atuf
597,عطسة,atusa
598,اطياف,atyaaf
599,اطياف,atyaf
600,اوراق,auraq
601,اوصى,ausa
602,اوسق,ausaq
603,افا,ava
604,افان,avan
605,افز,avaz
606,افيد,aveed
607,فين,aveen
608,فيستا,avesta
609,فعشان,avishan
610,عفيفة,avivit
611,فيزه,avizah
612,فيزه,avizeh
613,او,awa
614,اوفيت,awafita
615,اودية,awaidia
616,عويشة,awaisha
617,اوز,awaiza
618,عوامل,awamila
619,اوامر,awamira
620,عوريف,awarif
621,اوت,awat
622,عواطف,awatif
623,عويضة,awayeda
624,اوب,awb
625,اوبي,awbi
626,اوبءة,awbia
627,ودق,awdaq
628,اودية,awdiya
629,اون,awena
630,اوفا,awfa
631,عويصة,awisa
632,اوشن,awishan
633,عوجا,awja
634,اولى,awla
635,اولية,awlya
636,اوقع,awqa
637,اوصل,awsal
638,اوسم,awsam
639,اوسمة,awsima
640,اولا,awwalan
641,عاوزه,awwazah
642,ايا,aya
643,ايات,ayaat
644,ايه,ayah
645,ايمن,ayamin
646,اين,ayana
647,عينه,ayaneh
648,ايات,ayat
649,عيد,ayd
650,ايدنا,aydania
651,ايدي,aydi
652,ايه,ayeh
653,عيينه,ayineh
654,ايلي,ayli
655,يملك,aymalak
656,ايمن,aymen
657,اين,ayna
658,اينور,aynoor
659,عينناهر,aynunnahar
660,عيوش,ayoosh
661,يباري,aypari
662,ارى,ayra
663,ايصال,aysal
664,ايسن,aysan
665,ايس,ayse
666,ايس,aysen
667,عايشين,aysheen
668,عيسو,aysoo
669,يطاق,aytak
670,ايتان,aytan
671,عيشة,ayusha
672,ايام,ayyam
673,عيوبي,ayyubia
674,عززهرة,az zahra
675,عزاء,azaa
676,زاده,azadah
677,ازدخة,azaddokht
678,زاده,azadeh
679,ازاح,azah
680,ازال,azal
681,ازاليا,azalia
682,زرقهش,azarakhsh
683,زردخة,azardokht
684,ازري,azari
685,ازرم,azarm
686,عزيز,azayiz
687,عذبه,azbah
688,عذبه,azeebah
689,عزيمة,azeema
690,عزيمه,azeemah
691,ازين,azeen
692,عزيزة,azeeza
693,عزيزه,azeezah
694,ازهار,azhaar
695,ازهار,azhar
696,ازيل,azila
697,ازمة,azima
698,ازمان,aziman
699,ازين,azin
700,عزيت,azita
701,عزيز,aziz
702,عزيزة,aziza
703,عزيزه,azizah
704,ازكى,azka
705,ازمة,azma
706,ازمة,azmia
707,ازمنة,azmina
708,عذرا,azra
709,عذراء,azraa
710,ازره,azrah
711,عزوة,azwa
712,ازين,azyan
713,عزة,azza
714,عزاء,azzaa
715,اذاه,azzah
716,عززت,azzat
717,باديه,baadiyah
718,بان,baan
719,بانه,baanah
720,باقة,baaqa
721,باسمة,baasima
722,بداء,badaa
723,بدي,badai
724,بدوية,badawiya
725,بداية,badaya
726,بادية,badeea
727,باديه,badeeah
728,بددا,badeeda
729,بديلا,badeela
730,بدهاء,badhaa
731,بادية,badia
732,باديه,badiah
733,بديهة,badiha
734,بادر,badir
735,بادرة,badira
736,باديه,badiyah
737,بادرة,badra
738,بادره,badrah
739,بدري,badrai
740,بدران,badran
741,بدري,badri
742,بدرية,badriya
743,بدريه,badriyah
744,بدريه,badriyyah
745,بعده,baduah
746,باديه,badyah
747,بغش,baghisha
748,بها,baha
749,بحار,bahaar
750,بهمن,bahameen
751,بهمن,bahamin
752,بحر,bahar
753,بحربن,bahar banu
754,بهره,baharah
755,بحرق,baharak
756,بهرا,baharan
757,بحربنه,baharbano
758,بحره,bahareh
759,بهشت,bahasht
760,بهيه,bahayah
761,بهيجة,baheeja
762,بحيلة,baheela
763,بحينة,baheenah
764,بحيرة,baheera
765,بحيره,baheerah
766,بها,bahia
767,بهيجة,bahiga
768,بهيجة,bahija
769,بهيجة,bahijah
770,بحيرة,bahira
771,بحيره,bahirah
772,بحيري,bahiri
773,بحرية,bahiriya
774,بحيث,bahisa
775,بهية,bahiya
776,باحياء,bahiyaa
777,بهيه,bahiyah
778,بهية,bahiyya
779,بهيه,bahiyyah
780,بحجة,bahja
781,بهنز,bahnaz
782,بحر,bahr
783,بهراء,bahraa
784,بحريهلبدة,bahriyah al aabidah
785,بحصة,bahsa
786,لاريب,bahz
787,بيزا,baiza
788,بجيلة,bajila
789,بقره,bakarah
790,بخيتة,bakheeta
791,بخيتة,bakhita
792,بخشنده,bakhshandeh
793,بخت,bakht
794,بخطى,bakhta
795,بخطور,bakhtawar
796,بخطورة,bakhtawara
797,باختي,bakhtia
798,باكرا,bakira
799,بقرن,bakirin
800,باكورة,bakura
801,بلغه,balaghah
802,بلبلة,balbala
803,بليغة,baleegha
804,بالي,bali
805,بليغة,baligha
806,بالجاه,baljah
807,بالوجة,balooja
808,بلقيس,balqees
809,بلقيس,balqis
810,بلقيس,balquees
811,بلسم,balsam
812,بنفسج,banafsaj
813,بنفسها,banafsha
814,بنفسهة,banafshah
815,بنفسهه,banafsheh
816,بنان,banan
817,بنازير,banazir
818,بنو,bano
819,بانو,banou
820,بن,banu
821,بنجاح,banujah
822,باقة,baqa
823,باقة,baqat
824,بقية,baqiya
825,براء,baraa
826,برايم,baraaem
827,براه,baraah
828,براحة,baraha
829,برايم,baraim
830,باركا,baraka
831,بركه,barakah
832,باران,baran
833,بارت,barat
834,بريق,barayek
835,برية,bareea
836,بريرة,bareerah
837,برحمه,barhamah
838,برية,baria
839,بريه,bariah
840,بريقا,barika
841,بركاء,barikaa
842,بريكة,barikah
843,بريرة,barirah
844,بريا,bariyya
845,بارزة,bariza
846,باريزي,barizia
847,برجى,barja
848,برجاء,barjaa
849,برجيس,barjees
850,بركات,barkat
851,باركها,barkha
852,برقه,barqah
853,بره,barrah
854,بارقة,barraqa
855,برسالة,barsala
856,بارزه,barzah
857,بصاءر,basaair
858,بسارة,basaaria
859,بصله,basalah
860,بسمة,basama
861,بسباس,basbas
862,بسيمة,baseema
863,باسماء,baseemaa
864,باسمه,baseemah
865,بصيرة,baseera
866,باسمه,basemah
867,باشا,basha
868,بشير,bashair
869,بشارة,bashara
870,بشرط,basharat
871,بشاشة,bashasha
872,بشيرا,basheera
873,بشيش,basheesha
874,بشرة,bashira
875,بشعره,bashirah
876,بشره,bashrah
877,بشره,bashurah
878,بشوش,bashush
879,بشوشة,bashusha
880,باسيلى,basila
881,بصله,basilah
882,بسيمة,basima
883,باسمه,basimah
884,بسيمة,basimia
885,بثينه,basinah
886,باسقة,basiqa
887,بصيرة,basira
888,بصيرا,basiraa
889,بسيطة,basita
890,بسمة,basma
891,باسماء,basmaa
892,باسمه,basmah
893,باسمة,basmat
894,باسمين,basmin
895,بسنة,basna
896,بسومه,basoomah
897,بصوص,basoos
898,بسمة,bassama
899,باذن,bathna
900,بطي,batia
901,باتنة,batina
902,بطنه,batinah
903,بطلاء,batlaa
904,بطله,batlah
905,بتول,batool
906,باتريسيا,batrisyia
907,بات,batu
908,بطول,batul
909,بطولة,batula
910,بون,bawan
911,باوسم,bawasim
912,بيان,bayan
913,بيضاء,baydaa
914,بيده,baydah
915,بيسان,baysan
916,بيينا,bayyina
917,بينت,bayyinat
918,بيزا,bayzaa
919,بذا,baza
920,بازالة,bazala
921,بازغة,bazegha
922,بازغة,bazigha
923,بذيله,bazilah
924,بذرة,bazira
925,بذرية,baziriya
926,بازل,bazla
927,بزرقة,bazriqa
928,بينا,beena
929,بنعيش,beenish
930,بيتا,beeta
931,بيتا,beetaa
932,بجم,begum
933,بحفرين,behafarin
934,بهشت,behasht
935,بهشت,behashta
936,بهشته,behashteh
937,بهدخة,behdokht
938,بهين,beheen
939,بحينة,beheena
940,بهنز,behnaz
941,بحركه,behrokh
942,بحصة,behsa
943,بحشد,behshid
944,بحي,behy
945,بنازير,benazeer
946,بنازير,benazir
947,بنظير,benzair
948,بركة,berka
949,بشرط,besharat
950,بحاجة,bhajat
951,بدر,bidar
952,بيديه,bidayah
953,بداية,bidayat
954,بالله,billah
955,بلقيس,bilqees
956,بلقيس,bilqis
957,بنش,binesh
958,بنعيش,binish
959,بينز,binnaz
960,برجيس,birjees
961,بيره,birrah
962,بيسر,bisar
963,بشره,bisharah
964,بشرط,bisharat
965,بشرى,bishra
966,بشري,bishry
967,بسمة,bisma
968,بزميل,bismal
969,بيتا,bita
970,بزره,bizrah
971,بخور,bokhur
972,بلور,bolour
973,برنا,borna
974,بشري,boshry
975,بعديد,budaida
976,بداءرة,budaira
977,بعده,buddah
978,بدور,budur
979,بدرية,buduriya
980,بحيره,buhairah
981,بحسه,buhaisah
982,بحيثة,buhaysah
983,بهيه,buhayyah
984,بحجة,buhjah
985,بهذه,buhthah
986,بحور,buhur
987,بجيبه,bujaybah
988,بوجود,bujud
989,بكره,bukrah
990,بلعنة,bulainah
991,بلله,bullah
992,بولوج,bulooj
993,بنانه,bunanah
994,بقيرة,buqayrah
995,بركات,buraikaat
996,برضه,burdah
997,برهانه,burhanah
998,بروم,burum
999,بسين,busain
1000,بثينة,busaina
1001,بصيره,busayrah
1002,بشرى,bushra
1003,بشره,bushrah
1004,بسر,busr
1005,بسرعه,busrah
1006,بسرق,busraq
1007,بوسطن,bustan
1008,بطالة,butaila
1009,بثناء,buthainaa
1010,بثينه,buthainah
1011,بثينة,buthayna
1012,بثينه,buthaynah
1013,بذور,buzur
1014,ساتلين,caitlyn
1015,كلا,cala
1016,سنتر,cantara
1017,سعرنا,carna
1018,شادية,chadia
1019,شافية,chafia
1020,شفيقة,chafika
1021,شهر,chahra
1022,شهرزاد,chahrazad
1023,كحاكم,chakama
1024,شاكرة,chakira
1025,شكري,chakori
1026,شامان,chaman
1027,كمنجل,chaman gul
1028,كمنناز,chaman naz
1029,شامانرا,chamanara
1030,شمس,chamis
1031,كامب,champa
1032,كهنة,chana
1033,كند,chand
1034,شندى,chanda
1035,شندني,chandni
1036,شاندرا,chandra
1037,شرجه,charagh
1038,شاش,chasheen
1039,كاشد,chashida
1040,شهرا,chehra
1041,شرجه,cheragh
1042,كاشد,cheshideh
1043,كسي,chessy
1044,سيرة,cyra
1045,دامية,daaemiyyah
1046,داجية,daajiyah
1047,دابر,dabir
1048,دفينه,dafeenah
1049,دافية,dafiya
1050,دافيه,dafiyah
1051,دفقة,dafqah
1052,دهب,dahab
1053,داهيه,dahiah
1054,داهيه,dahiyyah
1055,داهما,dahma
1056,ضاهرة,dahra
1057,ديبا,daiba
1058,ديبا,daieba
1059,داءما,daima
1060,داعية,daiya
1061,دلال,dalaal
1062,دليل,daleela
1063,داليا,dalia
1064,دليلة,dalila
1065,دليله,dalilah
1066,داليا,daliya
1067,داليه,daliyah
1068,دلكه,dalkah
1069,دلما,dalmaa
1070,ضلمه,dalmah
1071,دلع,dalu
1072,دلوعه,dalwah
1073,دماء,damaa
1074,دمل,damali
1075,دميتها,dameetha
1076,دانا,dana
1077,دانه,danah
1078,ضنين,daneen
1079,دانش,danesh
1080,دانية,dania
1081,دارا,dara
1082,درخشا,darakhshaan
1083,درخشا,darakhshan
1084,داردان,dardana
1085,ضارية,daria
1086,ضارية,dariya
1087,داريه,dariyah
1088,درخشندا,darkhshanda
1089,درة,darra
1090,داره,darrah
1091,داريا,darya
1092,داس,dasa
1093,دستر,dastiaar
1094,دولة,daulah
1095,دولة,daulat
1096,دماء,daumaa
1097,دوحة,dawha
1098,دولتخت,dawlat khatoon
1099,دومه,dawmah
1100,داومت,dawmat
1101,دوب,dawub
1102,داوود,dawud
1103,دية,daya
1104,ديانا,dayana
1105,ديانا,dayanna
1106,ديه,dayeah
1107,ضيفه,dayfah
1108,ديبا,deeba
1109,ديبا,deebaa
1110,ديمة,deema
1111,دينا,deena
1112,دينه,deenah
1113,دل,del
1114,ديلارا,delara
1115,دلارم,delaram
1116,دلبير,delbar
1117,دلبز,delbaz
1118,دلدار,deldar
1119,دلش,delisha
1120,ذلكش,delkash
1121,دلنفز,delnavaz
1122,دلنوز,delnawaz
1123,دلنز,delnaz
1124,دلني,delnia
1125,ديلربا,delroba
1126,دلشاد,delshad
1127,درخشا,derakhshan
1128,درخشنده,derakhshandeh
1129,ذاكرة,dhaakirah
1130,ذكره,dhakirah
1131,ذكيه,dhakiyah
1132,ذكيه,dhakiyyah
1133,ضحى,dhuha
1134,ذوق,dhuka
1135,ديباج,dibaaj
1136,ديدار,didar
1137,ديليفرز,dil afroze
1138,ديليفرز,dilafruz
1139,دلاله,dilalah
1140,ديلارا,dilara
1141,دلدار,dildar
1142,ذلكش,dilkash
1143,ديلربا,dilruba
1144,دلشاد,dilshaad
1145,دلشاد,dilshad
1146,ديما,dima
1147,ديمه,dimah
1148,دينا,dina
1149,دينار,dinar
1150,دينارة,dinarah
1151,ضيقرة,diqrah
1152,ديرا,dirran
1153,دعوة,diwa
1154,ديا,diya
1155,ضياء,diyaa
1156,ديانة,diyana
1157,دينه,diyanah
1158,ديانة,diyanat
1159,دجيملا,djamila
1160,دى,doa
1161,دعاء,doaa
1162,ضحى,doha
1163,دنيا,donya
1164,دوست,doost
1165,دردنا,dordana
1166,دردنه,dordaneh
1167,دورين,doreen
1168,دورنا,dorna
1169,دورناز,dornaz
1170,درسا,dorsa
1171,دوست,dost
1172,دوحة,douha
1173,دنيا,dounia
1174,درخشا,drakhshan
1175,دعا,dua
1176,دعاء,duaa
1177,ذباح,dubaah
1178,دوحة,duha
1179,دوحة,duhat
1180,دجانه,dujanah
1181,دونا,dunaa
1182,دنيا,dunia
1183,دنيا,duniya
1184,دنيا,dunya
1185,دنيانا,dunyana
1186,درافشا,durafshan
1187,درر,durar
1188,دردنة,durdanah
1189,دورية,duriya
1190,دور,durr
1191,دورة,durra
1192,دوره,durrah
1193,دردنا,durrdana
1194,دوري,durri
1195,دورية,durriya
1196,دوريه,durriyah
1197,دوريه,durriyyah
1198,دورية,durruya
1199,دريب,duryab
1200,عبره,ebrah
1201,اذا,eeda
1202,عشا,eesha
1203,ايضاح,eezah
1204,عفه,efah
1205,افتخر,eftikhar
1206,احسانه,ehsaneh
1207,احترام,ehteram
1208,ايفا,eifa
1209,ايفاد,eifad
1210,ايحاء,eihaa
1211,ايهام,eiham
1212,ايلين,eileen
1213,اليه,eiliyah
1214,النز,eilnaz
1215,ايماء,eima
1216,ايمان,eimaan
1217,ايمان,eiman
1218,ايناس,einas
1219,ايراء,eira
1220,ايثار,eithar
1221,ايوا,eiwa
1222,ايلاف,elaf
1223,النور,eleanor
1224,الهم,elham
1225,الينا,eliana
1226,العجه,elijah
1227,اليك,elika
1228,العشا,elisha
1229,العزة,eliza
1230,اليزابيث,elizabeth
1231,علما,elma
1232,الميرا,elmira
1233,النز,elnaz
1234,السى,elsa
1235,السنة,elsana
1236,ايمان,emaan
1237,ايمان,eman
1238,ايميلي,emily
1239,ايماء,emma
1240,امنة,emna
1241,ارشفة,ereshva
